Stapes,The stapes⋅ or stirrup⋅ is the smallest bone in the human body.Resembling a stirrup from horseback riding⋅ it is attached to the incus on one end.Its footplate rests on the oval window⋅ which separates the middle and inner ear.Transmits sound vibrations from the incus to the fluid-filled cochlea of the inner ear
Atlas,The atlas⋅ or C1 vertebra⋅ is the first cervical vertebra at the top of the spine.It supports the weight of the skull and allows for nodding movements (flexion and extension) of the head.It articulates with the occipital condyles at the base of the skull⋅ forming the atlanto-occipital joint.The atlas lacks a vertebral body and has a ring-like structure with two lateral masses and an anterior and posterior arch
Axis,The axis⋅ or C2 vertebra⋅ is the second cervical vertebra.It articulates with the atlas⋅ allowing for rotational movements (rotation) of the head.The axis has a unique bony process called the odontoid process (dens)⋅ which extends upward and fits into the atlas.The odontoid process acts as a pivot point⋅ enabling the head to rotate from side to side
Vertebra C3, These are the third to seventh cervical vertebrae in the neck region. They form the flexible and mobile upper part of the vertebral column. Each cervical vertebra has a small vertebral body and a vertebral foramen through which the spinal cord passes. These vertebrae have transverse processes and spinous processes that serve as attachment points for muscles and ligaments.
Vertebra C4, These are the third to seventh cervical vertebrae in the neck region. They form the flexible and mobile upper part of the vertebral column. Each cervical vertebra has a small vertebral body and a vertebral foramen through which the spinal cord passes. These vertebrae have transverse processes and spinous processes that serve as attachment points for muscles and ligaments.
Vertebra C5, These are the third to seventh cervical vertebrae in the neck region. They form the flexible and mobile upper part of the vertebral column. Each cervical vertebra has a small vertebral body and a vertebral foramen through which the spinal cord passes. These vertebrae have transverse processes and spinous processes that serve as attachment points for muscles and ligaments.
Vertebra C6, These are the third to seventh cervical vertebrae in the neck region. They form the flexible and mobile upper part of the vertebral column. Each cervical vertebra has a small vertebral body and a vertebral foramen through which the spinal cord passes. These vertebrae have transverse processes and spinous processes that serve as attachment points for muscles and ligaments.
Vertebra C7, These are the third to seventh cervical vertebrae in the neck region. They form the flexible and mobile upper part of the vertebral column. Each cervical vertebra has a small vertebral body and a vertebral foramen through which the spinal cord passes. These vertebrae have transverse processes and spinous processes that serve as attachment points for muscles and ligaments.
Vertebra T1, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T2, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T3, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T4, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T5, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T6, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T7, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T8, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T9, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T10, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T11, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra T12, These are the first to twelfth thoracic vertebrae in the middle and upper back region. They are larger and stronger than the cervical vertebrae. Each thoracic vertebra has a larger vertebral body compared to the cervical vertebrae and articulates with the ribs. These vertebrae have long spinous processes that project downward and help form the posterior curve of the spine.
Vertebra L1, These are the first to fifth lumbar vertebrae in the lower back region. They are the largest and strongest of the movable vertebrae. Each lumbar vertebra has a thick and robust vertebral body that bears most of the weight of the upper body. These vertebrae have relatively short and sturdy spinous processes.
Vertebra L2, These are the first to fifth lumbar vertebrae in the lower back region. They are the largest and strongest of the movable vertebrae. Each lumbar vertebra has a thick and robust vertebral body that bears most of the weight of the upper body. These vertebrae have relatively short and sturdy spinous processes.
Vertebra L3, These are the first to fifth lumbar vertebrae in the lower back region. They are the largest and strongest of the movable vertebrae. Each lumbar vertebra has a thick and robust vertebral body that bears most of the weight of the upper body. These vertebrae have relatively short and sturdy spinous processes.
Vertebra L4, These are the first to fifth lumbar vertebrae in the lower back region. They are the largest and strongest of the movable vertebrae. Each lumbar vertebra has a thick and robust vertebral body that bears most of the weight of the upper body. These vertebrae have relatively short and sturdy spinous processes.
Vertebra L5, These are the first to fifth lumbar vertebrae in the lower back region. They are the largest and strongest of the movable vertebrae. Each lumbar vertebra has a thick and robust vertebral body that bears most of the weight of the upper body. These vertebrae have relatively short and sturdy spinous processes.
